filename,score,bbox_fill,aspect_ratio,transparency,vertical_center,reasons
This dahlia displays hundreds of pink and white petals tightly arranged in a spiral.webp,5.00,0.74,1.00,0.30,0.49,Very dense bloom (74% bbox fill); Square shape (aspect 1.00); Low transparency (30%)
Large_ single hibiscus-like bloom_ translucent petals with pink_ orange_ and blue hues_ delicate veining.webp,4.00,0.66,0.97,0.44,0.48,Very dense bloom (66% bbox fill); Square shape (aspect 0.97); Medium transparency (44%)
This single hibiscus bloom showcases layered_ overlapping petals in shades of pink and purple.webp,4.00,0.73,0.97,0.40,0.52,Very dense bloom (73% bbox fill); Square shape (aspect 0.97); Medium transparency (40%)
The rose-like flower is a single bloom in shades of pink with overlapping petals.webp,4.00,0.77,0.99,0.36,0.50,Very dense bloom (77% bbox fill); Square shape (aspect 0.99); Medium transparency (36%)
This white peony boasts fluffy_ layered petals and one large singular bloom.webp,4.00,0.69,1.10,0.43,0.52,Very dense bloom (69% bbox fill); Square shape (aspect 1.10); Medium transparency (43%)
This is a single_ light purple petunia-like flower_ petals have clear vein-like patterns.webp,4.00,0.69,1.11,0.44,0.49,Very dense bloom (69% bbox fill); Square shape (aspect 1.11); Medium transparency (44%)
Three pink hollyhock blooms feature ruffled petals and prominent green centers.webp,4.00,0.68,0.94,0.41,0.46,Very dense bloom (68% bbox fill); Square shape (aspect 0.94); Medium transparency (41%)
This is a single_ lavender chrysanthemum-type flower with many rounded petals densely arranged.webp,4.00,0.74,0.99,0.42,0.50,Very dense bloom (74% bbox fill); Square shape (aspect 0.99); Medium transparency (42%)
Vibrant yellow pansy with numerous blooms_ delicate petal texture_ and dark inner markings.webp,4.00,0.69,1.01,0.44,0.49,Very dense bloom (69% bbox fill); Square shape (aspect 1.01); Medium transparency (44%)
The single peach-colored hibiscus flower has ruffled petals and distinctive red stamen.webp,4.00,0.69,0.98,0.40,0.51,Very dense bloom (69% bbox fill); Square shape (aspect 0.98); Medium transparency (40%)
This is a single dahlia-like bloom with many cream petals and a reddish-orange center.webp,4.00,0.68,1.00,0.42,0.49,Very dense bloom (68% bbox fill); Square shape (aspect 1.00); Medium transparency (42%)
This is a yellow pansy with five overlapping_ delicate petals and dark markings.webp,4.00,0.70,0.98,0.40,0.48,Very dense bloom (70% bbox fill); Square shape (aspect 0.98); Medium transparency (40%)
This a golden-yellow chrysantheтит with abundant curved petals in tight concentric circles.webp,4.00,0.70,1.01,0.40,0.52,Very dense bloom (70% bbox fill); Square shape (aspect 1.01); Medium transparency (40%)
This is a single yellow chrysanthemum with many intricately arranged_ spoon-shaped petals.webp,4.00,0.72,1.01,0.40,0.51,Very dense bloom (72% bbox fill); Square shape (aspect 1.01); Medium transparency (40%)
Yellow zinnia flower_ numerous broad petals arranged in layered_ concentric rows_ small_ distinctive center florets.webp,4.00,0.74,1.00,0.36,0.50,Very dense bloom (74% bbox fill); Square shape (aspect 1.00); Medium transparency (36%)
